CODICE_VOLANTINO,ART_COD,FORECAST
23MD,HORX5PLUS464,1546.7632909693198
23NB,HORX5PLUS464,1603.1304046511373
23MA,HORX5PLUS464,1224.4557952189903
23NA,HORX5PLUS464,1425.067476590555
23NC,HORX5PLUS464,1586.1753450728497
23MD,HORX6A4128C,599.2369298470211
23NC,HORX6A4128C,792.429865213634
23MC,HORX6A4128C,603.6619656606375
23NA,HORX8AC,101.8074537630365
23NC,HORX8AC,191.2065240432588
23MD,MOTE13GR,994.9577140665358
23NB,MOTE13GR,1195.5100182007427
23MA,MOTE13GR,900.1923933472499
23NA,MOTE13GR,1047.294202848394
23NC,MOTE13GR,1169.849009515274
23MC,MOTE13GR,925.0387803763779
23MD,MOTEDGE30NEO256B,629.1796785739846
23NB,MOTEDGE30NEO256B,764.6864418032255
23NA,MOTEDGE30NEO256B,576.6170264706012
23NC,MOTEDGE30NEO256B,645.6608454065255
23MC,MOTEDGE30NEO256B,542.0143593485981
23MD,MOTEDGE30NEO256G,6.131672425229567
23NB,MOTEDGE30NEO256G,148.02618797505042
23NA,MOTEDGE30NEO256G,0.0
23NC,MOTEDGE30NEO256G,73.98072413617751
23MC,MOTEDGE30NEO256G,0.0
23MD,MOTEDGE40NEO5G256B,309.4955106945712
23NB,MOTEDGE40NEO5G256B,261.50471293889814
23NA,MOTEDGE40NEO5G256B,99.42183391028499
23NC,MOTEDGE40NEO5G256B,198.4576707136305
23MC,MOTEDGE40NEO5G256B,47.122619821405124
23MD,MOTEDGE40NEO5G256GR,62.21650371777878
23NB,MOTEDGE40NEO5G256GR,201.6630914585234
23NA,MOTEDGE40NEO5G256GR,37.92093976480652
23NC,MOTEDGE40NEO5G256GR,127.13517981795627
23MC,MOTEDGE40NEO5G256GR,0.0
23MB,MOTG144128,401.68010413070556
23MD,MOTG144128,553.5792571932437
23NB,MOTG144128,941.1580543876815
23NA,MOTG144128,541.1068896789832
23NC,MOTG144128,775.9768165229623
23MC,MOTG144128,417.51626354771855
23MD,MOTG328256S,46.4897314572342
23NB,MOTG328256S,188.38424700705505
23MA,MOTG328256S,0.0
23NA,MOTG328256S,24.932180143240032
23NC,MOTG328256S,114.38994182149315
23MC,MOTG328256S,0.0
23MD,MOTG845G12256R,93.46717892122655
23NB,MOTG845G12256R,343.1746430562662
23NA,MOTG845G12256R,69.39157658308687
23NC,MOTG845G12256R,342.6191338248423
23MD,MOTG845G12256W,93.46717892122655
23NB,MOTG845G12256W,289.4537535166666
23NA,MOTG845G12256W,69.39157658308687
23NC,MOTG845G12256W,229.34164268749112
23MB,MOTG855G12256R,0.0
23MB,MOTG855G12256W,0.0
23MD,MOTRAZR40G,114.33885119247606
23NA,MOTRAZR40G,89.64073739631175
23NC,MOTRAZR40G,178.77672623928814
23MD,MOTRAZR40ULTRA256,9.014407186699543
23NB,MOTRAZR40ULTRA256,151.02686569255448
23NA,MOTRAZR40ULTRA256,0.0
23NC,MOTRAZR40ULTRA256,76.86492873268617
23MD,MOTRAZR40W,0.0
23NB,MOTRAZR40W,133.11400499619856
23NA,MOTRAZR40W,0.0
23NC,MOTRAZR40W,0.0
23NB,OMN12LITE,301.99713849028484
23NA,OMN12LITE,146.01349840213925
23MC,OMN12LITE,167.4975303208295
23MD,OMNA04S,381.0456295350408
23NA,OMNA04S,355.32277805138705
23MA,OMNA1464,619.7885458910813
23NA,OMNA1464,748.4377583141188
23NC,OMNA1464,615.3754597685819
23MC,OMNA1464,526.7037210784029
23NC,OMNA1464S,119.1855713022577
23MB,OMNA23,294.38852016574174
